transaction_id,timestamp,date,hour,day_of_week,is_weekend,customer_id,sku,sku_name,category,quantity,unit_price,unit_cost,total_amount,gross_margin,payment_channel,is_raining,is_festival,is_ipl_match,current_shelf_stock,supplier_lead_time_h,stockout_within_24h
TX_202509180702_39409,2025-09-18T07:02:45,2025-09-18,7,3,0,user_0090@paytm,AML-MK-500,Amul Taaza Toned Milk (500ml),Dairy,2,27,24,54,6,Paytm Soundbox QR,0,0,0,38,4,0
TX_202509180703_39088,2025-09-18T07:03:31,2025-09-18,7,3,0,user_0522@paytm,THU-SDA-750,Thums Up Charged (750ml PET),Beverages,1,40,34,40,6,Paytm Soundbox QR,0,0,0,49,24,0
TX_202509180706_49074,2025-09-18T07:06:52,2025-09-18,7,3,0,user_0560@paytm,AML-MK-500,Amul Taaza Toned Milk (500ml),Dairy,3,27,24,81,9,Paytm Soundbox QR,0,0,0,9,4,0
TX_202509180707_51993,2025-09-18T07:07:09,2025-09-18,7,3,0,user_0111@paytm,MDN-CURD-400,Mother Dairy Dahi (400g),Dairy,3,35,31,105,12,Paytm Soundbox QR,0,0,0,44,6,0
TX_202509180725_19048,2025-09-18T07:25:42,2025-09-18,7,3,0,user_0111@paytm,AML-MK-500,Amul Taaza Toned Milk (500ml),Dairy,1,27,24,27,3,Paytm Soundbox QR,0,0,0,64,4,0
TX_202509180725_33040,2025-09-18T07:25:45,2025-09-18,7,3,0,user_0267@paytm,PRL-PLG-1KG,Parle-G Gold Biscuits (1kg),Packaged Goods,2,90,78,180,24,Paytm Soundbox QR,1,0,0,16,48,0
TX_202509180728_44410,2025-09-18T07:28:15,2025-09-18,7,3,0,user_0371@paytm,AML-BTR-500,Amul Salted Butter (500g),Dairy,1,275,252,275,23,Paytm Soundbox QR,0,0,0,30,24,0
TX_202509180732_53560,2025-09-18T07:32:41,2025-09-18,7,3,0,user_0172@paytm,MDN-CURD-400,Mother Dairy Dahi (400g),Dairy,2,35,31,70,8,Paytm Soundbox QR,0,0,0,26,6,0
TX_202509180733_24437,2025-09-18T07:33:56,2025-09-18,7,3,0,user_0201@paytm,MDN-CURD-400,Mother Dairy Dahi (400g),Dairy,3,35,31,105,12,Paytm Soundbox QR,0,0,0,8,6,0
TX_202509180741_38416,2025-09-18T07:41:52,2025-09-18,7,3,0,user_1036@paytm,AML-BTR-500,Amul Salted Butter (500g),Dairy,1,275,252,275,23,Paytm Soundbox QR,1,0,0,13,24,0
TX_202509180742_44662,2025-09-18T07:42:27,2025-09-18,7,3,0,user_0081@paytm,DET-SOAP-75,Dettol Original Soap (75g),Personal Care,1,38,33,38,5,Paytm Soundbox QR,0,0,0,20,72,0
TX_202509180748_18319,2025-09-18T07:48:24,2025-09-18,7,3,0,user_0333@paytm,AML-BTR-500,Amul Salted Butter (500g),Dairy,1,275,252,275,23,Paytm Soundbox QR,0,0,0,28,24,0
TX_202509180749_16414,2025-09-18T07:49:31,2025-09-18,7,3,0,user_0081@paytm,MDN-CURD-400,Mother Dairy Dahi (400g),Dairy,1,35,31,35,4,Paytm Soundbox QR,0,0,0,36,6,0
TX_202509180754_24523,2025-09-18T07:54:56,2025-09-18,7,3,0,user_0218@paytm,TAT-TEA-250,Tata Tea Premium (250g),Beverages,1,140,122,140,18,Paytm Soundbox QR,0,0,0,70,48,0
TX_202509180800_26469,2025-09-18T08:00:34,2025-09-18,8,3,0,user_0080@paytm,AML-MK-500,Amul Taaza Toned Milk (500ml),Dairy,1,27,24,27,3,Paytm Soundbox QR,0,0,0,61,4,0
TX_202509180805_13826,2025-09-18T08:05:56,2025-09-18,8,3,0,user_0109@paytm,AML-BTR-500,Amul Salted Butter (500g),Dairy,1,275,252,275,23,Paytm Soundbox QR,0,0,0,27,24,0
TX_202509180809_49693,2025-09-18T08:09:50,2025-09-18,8,3,0,user_0195@paytm,MDN-CURD-400,Mother Dairy Dahi (400g),Dairy,2,35,31,70,8,Paytm Soundbox QR,0,0,0,15,6,0
TX_202509180812_30040,2025-09-18T08:12:13,2025-09-18,8,3,0,user_0026@paytm,AML-BTR-500,Amul Salted Butter (500g),Dairy,1,275,252,275,23,Paytm Soundbox QR,0,0,0,34,24,0
TX_202509180814_29283,2025-09-18T08:14:49,2025-09-18,8,3,0,user_0147@paytm,AML-BTR-500,Amul Salted Butter (500g),Dairy,1,275,252,275,23,Paytm Soundbox QR,0,0,0,67,24,0
TX_202509180815_10968,2025-09-18T08:15:04,2025-09-18,8,3,0,user_0008@paytm,MDN-CURD-400,Mother Dairy Dahi (400g),Dairy,1,35,31,35,4,Paytm Soundbox QR,0,0,0,30,6,0
TX_202509180818_13812,2025-09-18T08:18:13,2025-09-18,8,3,0,user_0895@paytm,MDN-CURD-400,Mother Dairy Dahi (400g),Dairy,1,35,31,35,4,Paytm Soundbox QR,0,0,0,17,6,0
TX_202509180820_10288,2025-09-18T08:20:02,2025-09-18,8,3,0,user_0816@paytm,MDN-CURD-400,Mother Dairy Dahi (400g),Dairy,1,35,31,35,4,Paytm Soundbox QR,0,0,0,8,6,0
